,10 Cornell - Commons Shuttle                                   ,,,,,,,,,,,,,
,Loop,,,,,,,,,,,,,
,Weekday,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Seneca @ Commons Depart,Goldwin Smith Hall,Seneca @ Commons Arrive - Rt 10,,,,,,,,,,
,,10:27,10:31,10:32,-,-,-,10:41,-,-,,,,
,,10:57,11:01,11:02,-,-,-,11:11,-,-,,,,
,,11:57,12:01,12:02,12:07,12:11,12:15,12:19,-,-,,,,
,,12:27,12:31,12:32,12:37,12:41,12:45,12:49,-,-,,,,
,,12:57,1:01,1:02,1:07,1:11,1:15,1:19,-,-,,,,
,,1:27,1:31,1:32,1:37,1:41,1:45,1:49,-,-,,,,
,,,,,,,,,,,,,,
,11 Ithaca College - Commons                                    ,,,,,,,,,,,,,
,Outbound,,,,,,,,,,,,,
,Saturday,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Seneca @ Commons Depart,Green @ Commons Arrive,Green @ Commons Depart,Hudson @ Grandview,IC - Roy Park School,IC - The Towers @ Ithaca College,IC - College Circle Apartments,Longview,South Hill Business Park,,,,
,,-,-,7:05,7:10,7:14,7:18,7:22,-,-,,,,
,,-,-,7:35,7:40,7:44,-,-,-,7:48,,,,
,,7:57,8:01,8:05,8:10,8:14,8:18,8:22,-,-,,,,
,,8:27,8:31,8:35,8:40,8:44,-,-,-,8:48,,,,
,,8:57,9:01,9:05,9:10,9:14,9:18,9:22,-,-,,,,
,,9:27,9:31,9:35,9:40,9:44,-,-,-,9:48,,,,
,,9:57,10:01,10:05,10:10,10:14,10:18,10:22,-,-,,,,
,,10:27,10:31,10:35,10:40,10:44,-,-,-,10:48,,,,
,,10:57,11:01,11:05,11:10,11:14,11:18,11:22,-,-,,,,
,,11:27,11:31,11:35,11:40,11:44,-,-,-,11:48,,,,
,,11:57,12:01,12:05,12:10,12:14,12:18,12:22,-,-,,,,
,,12:27,12:31,12:35,12:40,12:44,-,-,-,12:48,,,,
